"PRODUCT","SUBPRODUCT","STATE"
"Bank account or service","Checking account","MD"
"Credit reporting","","MD"
"Credit card","","PA"
"Credit reporting","","GA"
"Credit reporting","","MO"
"Debt collection","Credit card","CA"
"Credit reporting","",""
"Credit reporting","","GA"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Consumer loan","Vehicle loan","TX"
"Debt collection","Other (phone, health club, etc.)","OK"
"Credit reporting","","GA"
"Credit reporting","","UT"
"Debt collection","Other (phone, health club, etc.)","CT"
"Consumer loan","Vehicle loan","NJ"
"Credit reporting","","NY"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","TX"
"Mortgage","Conventional fixed mortgage","NC"
"Money transfers","Domestic (US) money transfer","MD"
"Debt collection","","NY"
"Student loan","Non-federal student loan","PA"
"Bank account or service","Checking account","FL"
"Bank account or service","Checking account","MO"
"Debt collection","","IL"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Other (phone, health club, etc.)","CT"
"Mortgage","Conventional adjustable mortgage (ARM)","OR"
"Debt collection","Other (phone, health club, etc.)","OH"
"Payday loan","","PA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Other (phone, health club, etc.)","VA"
"Debt collection","Other (phone, health club, etc.)","GA"
"Credit reporting","","CO"
"Debt collection","Medical","NJ"
"Mortgage","Other mortgage","KS"
"Mortgage","Conventional fixed mortgage","MD"
"Credit reporting","","NC"
"Credit reporting","","TX"
"Bank account or service","Checking account","NV"
"Mortgage","Conventional fixed mortgage","NJ"
"Credit reporting","","TX"
"Credit reporting","","CA"
"Credit card","","NY"
"Credit reporting","","NM"
"Bank account or service","Checking account","PA"
"Mortgage","Other mortgage","CA"
"Student loan","Non-federal student loan","MD"
"Credit reporting","","TX"
"Mortgage","Conventional fixed mortgage","TX"
"Bank account or service","Checking account","NY"
"Credit reporting","",""
"Bank account or service","Checking account","IL"
"Mortgage","Conventional fixed mortgage","OH"
"Credit reporting","","MI"
"Credit reporting","","VA"
"Credit reporting","","IL"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","","MI"
"Bank account or service","Checking account","PA"
"Credit reporting","","NY"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Other (phone, health club, etc.)","NC"
"Credit reporting","","NC"
"Credit reporting","","VA"
"Credit reporting","","TX"
"Mortgage","VA mortgage","FL"
"Credit card","","CA"
"Credit reporting","","GA"
"Bank account or service","Checking account","NC"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit reporting","","VA"
"Student loan","Non-federal student loan","NJ"
"Credit card","","VA"
"Debt collection","","OR"
"Consumer loan","Vehicle loan","TX"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","","TX"
"Credit reporting","","AZ"
"Credit card","","TX"
"Credit card","","AZ"
"Mortgage","Conventional adjustable mortgage (ARM)","NV"
"Mortgage","Conventional fixed mortgage","CA"
"Bank account or service","Other bank product/service","TX"
"Credit card","","MI"
"Mortgage","Other mortgage","NJ"
"Student loan","Non-federal student loan","NY"
"Mortgage","Other mortgage","NY"
"Mortgage","Reverse mortgage","AZ"
"Debt collection","Mortgage","CA"
"Consumer loan","Vehicle loan","NY"
"Bank account or service","Checking account","NJ"
"Debt collection","","OH"
"Mortgage","Conventional fixed mortgage","NC"
"Debt collection","Payday loan","SC"
"Debt collection","Mortgage","WA"
"Debt collection","Other (phone, health club, etc.)","MD"
"Credit reporting","","WA"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","TX"
"Debt collection","Medical","OR"
"Debt collection","Mortgage","CA"
"Credit reporting","","UT"
"Debt collection","Credit card","GA"
"Mortgage","FHA mortgage","AL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Reverse mortgage","FL"
"Debt collection","Credit card","CA"
"Money transfers","Domestic (US) money transfer","TX"
"Payday loan","","MO"
"Payday loan","","CA"
"Mortgage","Conventional fixed mortgage","MI"
"Debt collection","","CA"
"Debt collection","Other (phone, health club, etc.)","VA"
"Credit card","","OK"
"Payday loan","","TX"
"Mortgage","FHA mortgage","AZ"
"Debt collection","Non-federal student loan","AR"
"Debt collection","Credit card","CA"
"Mortgage","Home equity loan or line of credit","CA"
"Mortgage","Conventional fixed mortgage","AL"
"Credit card","","CA"
"Credit card","","TX"
"Mortgage","Other mortgage","PA"
"Mortgage","Conventional fixed mortgage","TX"
"Credit reporting","",""
"Credit reporting","","GA"
"Debt collection","","VA"
"Mortgage","Conventional fixed mortgage","TN"
"Credit reporting","","MN"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","CA"
"Credit card","","TX"
"Bank account or service","Other bank product/service","TN"
"Mortgage","FHA mortgage","TX"
"Mortgage","Conventional fixed mortgage","NY"
"Credit reporting","","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","HI"
"Bank account or service","Checking account","NV"
"Debt collection","Other (phone, health club, etc.)","GA"
"Mortgage","FHA mortgage","CT"
"Bank account or service","Checking account","NJ"
"Debt collection","Payday loan","PA"
"Credit card","","NY"
"Payday loan","","TX"
"Debt collection","","CA"
"Credit reporting","","KY"
"Credit reporting","","FL"
"Mortgage","Home equity loan or line of credit","MA"
"Mortgage","Conventional fixed mortgage","NY"
"Credit reporting","","CA"
"Consumer loan","Vehicle loan","VA"
"Debt collection","Other (phone, health club, etc.)","WA"
"Student loan","Non-federal student loan","TN"
"Debt collection","Other (phone, health club, etc.)","WA"
"Mortgage","Conventional fixed mortgage","NC"
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","SC"
"Bank account or service","Other bank product/service","MA"
"Credit reporting","",""
"Bank account or service","Checking account","AL"
"Bank account or service","Checking account","TX"
"Bank account or service","Checking account","MD"
"Credit reporting","","CA"
"Student loan","Non-federal student loan","ME"
"Credit reporting","","GA"
"Bank account or service","Other bank product/service","MA"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit card","","MA"
"Payday loan","","VA"
"Credit reporting","","GA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Bank account or service","Checking account","NJ"
"Debt collection","Other (phone, health club, etc.)","IA"
"Credit reporting","","CA"
"Credit reporting","","IL"
"Debt collection","Other (phone, health club, etc.)","TX"
"Bank account or service","Checking account","FL"
"Credit card","","NY"
"Debt collection","","GA"
"Mortgage","Reverse mortgage","NJ"
"Mortgage","Conventional fixed mortgage","GA"
"Mortgage","Other mortgage","NJ"
"Credit reporting","","TX"
"Credit reporting","","WI"
"Debt collection","Other (phone, health club, etc.)","UT"
"Debt collection","","IA"
"Debt collection","Other (phone, health club, etc.)","OR"
"Mortgage","Other mortgage","WA"
"Debt collection","Medical","KS"
"Bank account or service","Other bank product/service","FL"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","FHA mortgage","PA"
"Mortgage","Home equity loan or line of credit","TX"
"Mortgage","FHA mortgage","IN"
"Credit reporting","","OH"
"Bank account or service","Checking account","WI"
"Debt collection","Medical","MD"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","","VA"
"Debt collection","Credit card","FL"
"Credit reporting","",""
"Consumer loan","Vehicle loan","TX"
"Credit reporting","","NE"
"Debt collection","Credit card","PA"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Debt collection","Payday loan","CA"
"Credit reporting","",""
"Debt collection","Payday loan","CA"
"Debt collection","","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","AZ"
"Credit reporting","","NV"
"Student loan","Non-federal student loan","GA"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","Payday loan","TX"
"Credit reporting","","NJ"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Home equity loan or line of credit","TX"
"Credit card","","FL"
"Mortgage","Conventional fixed mortgage","SC"
"Bank account or service","Other bank product/service","CA"
"Credit card","","MD"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional fixed mortgage","OR"
"Debt collection","Credit card","NY"
"Debt collection","Other (phone, health club, etc.)","MO"
"Debt collection","Other (phone, health club, etc.)","MD"
"Debt collection","Other (phone, health club, etc.)","IL"
"Debt collection","Other (phone, health club, etc.)","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","AZ"
"Consumer loan","Vehicle loan","NJ"
"Consumer loan","Vehicle loan","VA"
"Credit card","","CA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Bank account or service","Checking account","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Consumer loan","Vehicle lease","OH"
"Debt collection","Other (phone, health club, etc.)","NY"
"Mortgage","Other mortgage","CA"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","TX"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","Other (phone, health club, etc.)","NV"
"Credit reporting","","NJ"
"Credit reporting","","MA"
"Mortgage","Conventional fixed mortgage","LA"
"Bank account or service","Other bank product/service","FL"
"Debt collection","Credit card","MD"
"Debt collection","Credit card","KY"
"Credit reporting","","TX"
"Debt collection","","TN"
"Credit reporting","",""
"Credit reporting","","TX"
"Mortgage","FHA mortgage","MS"
"Mortgage","FHA mortgage","NC"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Credit reporting","","FL"
"Bank account or service","Checking account","FL"
"Credit reporting","",""
"Credit reporting","",""
"Debt collection","Other (phone, health club, etc.)","MN"
"Credit reporting","",""
"Debt collection","","FL"
"Credit reporting","","TN"
"Bank account or service","Checking account","TX"
"Payday loan","",""
"Credit card","","TX"
"Student loan","Non-federal student loan","TX"
"Mortgage","FHA mortgage","FL"
"Credit reporting","","TN"
"Credit card","","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","DE"
"Credit reporting","",""
"Bank account or service","Other bank product/service","MN"
"Credit reporting","","CA"
"Mortgage","VA mortgage","GA"
"Debt collection","Medical","PA"
"Debt collection","Payday loan","ID"
"Bank account or service","Checking account","IL"
"Money transfers","International money transfer","CA"
"Credit card","","OR"
"Debt collection","","TX"
"Credit reporting","","AZ"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Other (phone, health club, etc.)","MN"
"Credit reporting","","AZ"
"Consumer loan","Installment loan","NJ"
"Debt collection","Other (phone, health club, etc.)","TX"
"Credit reporting","","TX"
"Mortgage","FHA mortgage","FL"
"Credit card","","GA"
"Credit reporting","",""
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","MI"
"Debt collection","Other (phone, health club, etc.)","WA"
"Debt collection","Credit card","FL"
"Mortgage","FHA mortgage","FL"
"Consumer loan","Vehicle loan","TX"
"Mortgage","Conventional fixed mortgage","VA"
"Credit reporting","","FL"
"Mortgage","Other mortgage","MT"
"Consumer loan","Vehicle lease","OH"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Credit reporting","","GA"
"Debt collection","Credit card","FL"
"Bank account or service","Checking account","FL"
"Mortgage","Conventional fixed mortgage","ND"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Mortgage","FHA mortgage","CA"
"Mortgage","Other mortgage","FL"
"Payday loan","","AZ"
"Credit reporting","","CA"
"Mortgage","Other mortgage","VA"
"Credit reporting","","NV"
"Credit reporting","","AZ"
"Debt collection","Medical","CA"
"Mortgage","FHA mortgage","VA"
"Mortgage","FHA mortgage","VA"
"Debt collection","Credit card","CA"
"Student loan","Non-federal student loan","TN"
"Debt collection","Credit card","MD"
"Credit reporting","","NJ"
"Credit card","","PR"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","NY"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Debt collection","Medical","WI"
"Mortgage","Conventional adjustable mortgage (ARM)","CT"
"Debt collection","Other (phone, health club, etc.)","UT"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Mortgage","NM"
"Credit reporting","","FL"
"Credit reporting","","OR"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","OK"
"Mortgage","Other mortgage","WA"
"Bank account or service","Other bank product/service","OK"
"Bank account or service","(CD) Certificate of deposit","DE"
"Payday loan","","IL"
"Bank account or service","Other bank product/service","PA"
"Credit reporting","","FL"
"Mortgage","Other mortgage","CA"
"Debt collection","Credit card","NJ"
"Student loan","Non-federal student loan","MN"
"Mortgage","Other mortgage","NH"
"Mortgage","Conventional fixed mortgage","CA"
"Credit card","","CA"
"Mortgage","Home equity loan or line of credit","SC"
"Consumer loan","Vehicle loan","KS"
"Credit reporting","","WA"
"Credit reporting","","FL"
"Credit reporting","","WA"
"Credit card","","VA"
"Credit reporting","","AZ"
"Mortgage","Other mortgage","NH"
"Consumer loan","Installment loan","CA"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Bank account or service","Checking account","FL"
"Credit reporting","","CA"
"Mortgage","Other mortgage","FL"
"Consumer loan","Installment loan","SC"
"Credit reporting","","CO"
"Debt collection","","GA"
"Payday loan","","KY"
"Credit card","","MA"
"Debt collection","","NJ"
"Debt collection","","MD"
"Credit reporting","","CA"
"Bank account or service","Checking account","CA"
"Debt collection","Other (phone, health club, etc.)","CT"
"Money transfers","International money transfer","OK"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Other (phone, health club, etc.)","VA"
"Mortgage","Conventional adjustable mortgage (ARM)","WA"
"Credit reporting","","GA"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","TX"
"Credit reporting","","NY"
"Debt collection","Non-federal student loan","IL"
